app_start.stm,app_start.sip,app_start.rom_ver,app_start.sid,app_start.app_type,app_start.ctime,app_start.app_ver,app_start.order,app_start.h_mode,app_start.h_sn,app_start.net_type,app_start.appmode,app_start.o_source,app_start.app_name,app_start.status,app_start.s_ver,app_start.mac,app_start.year,app_start.month,app_start.day,app_start.hour
1540742597,182.90.222.132,4.3.3.16_s,b09d68ce94294d7692765e7c65203c6e,4,1540742174,4.3.3.16,22,FD5551A-SU,FUN204002145916040100844,1,TVAppStore,tv.fun.appstore,com.qiyivideo.fengxing.tvapi,1,8.8.0.79552,28:76:CD:05:81:35,2018,10,29,00
1540743308,120.84.9.127,4.1.1.9_s,1f6e4f4e14a049c49283b1b4b8aa90b0,4,1540743301,4.1.1.9,55,H55V6000,FUN213000112817460102708,1,TVLauncher,com.bestv.ott,tv.fun.filemanager,1,4.1.1.9,28:76:CD:CE:04:15,2018,10,29,00
1540742500,123.9.221.30,4.1.1.12_s,e19f9be8d6614f13b2e4c922f80f43b1,4,1540741520,4.1.1.12,5,LE39B3500W,FUN202000042216160101876,2,TVAppStore,tv.fun.appstore,com.ktcp.video,1,3.6.0.1036,28:76:CD:09:5A:44,2018,10,29,00
1540742710,223.74.197.96,4.3.3.16_s,e7e99d3ffb2846f49364b512ad85d4d8,4,1540735525,4.3.3.16,8,FD4951A-LU,FUN201001271416330102219,1,TVLauncher,com.bestv.ott,tv.fun.orange,1,1.2.0.0,28:76:CD:0C:5C:67,2018,10,29,00
1540744972,171.210.120.108,1.0.0,675ef64e024141d98260bde9a656245b,4,1540658343,1.10.12-ga7a909c,3,MStar+Android+TV,,1,,com.cvte.tv.launcher.fighter,com.cibn.tv,1,5.14.1.22,78:dd:d9:bc:19:72,2018,10,29,00
1540744976,113.228.85.166,4.1.1.20_s,a1e509ab96c543aab5895f007635efd7,4,1540712431,4.1.1.20,12,FD4051B-CF,FUN201003727717480104433,1,TVLauncher,com.bestv.ott,com.ktcp.video,1,3.6.0.1036,28:76:CD:D0:56:70,2018,10,29,00
1540743514,112.14.102.254,1.0.0,eb101e25481b4bb1bf2fff0860a456c9,4,1540661047,1.10.12-ga7a909c,4,MStar+Android+TV,,2,,com.cvte.tv.launcher.fighter,com.ktcp.video,1,2.7.1.2226,78:dd:d9:b5:6c:e8,2018,10,29,00
1540745042,111.42.34.201,7.0.20180918.225843,c316b0f6d9e34131b6cbd58f769f6564,4,1540744970,1.0,91,toptech_TT338512S,,1,,com.mstar.tv.tvplayer.ui,com.mstar.tv.tvplayer.ui,1,1.0,00:cb:b4:21:2d:42,2018,10,29,00
1540745653,182.119.12.75,4.3.3.16_s,b8107cf8768d44d5bd775d87880bac77,4,1540720732,4.3.3.16,76,FD4952A-SU,FUN201003361017410104782,1,TVAppStore,tv.fun.appstore,com.x.tv,1,1.1.1,28:76:CD:BC:8C:52,2018,10,29,00
1540743067,101.249.24.36,1.0.0,6c47bb0fe36147659241d9f1259b517d,4,1540687603,1.0,4,MStar+Android+TV,,1,,com.cvte.tv.launcher.magnet,com.cvte.tv.appstore,1,1.4.2,78:dd:d9:bc:13:1f,2018,10,29,00
